Genotype,Animal,Normalized distance from pia (%),Gephyrin Counts
CTRL, AB7923,12.0,28.333333333333332
CTRL, AB7923,14.0,27.666666666666668
CTRL, AB7923,16.0,62.666666666666664
CTRL, AB7923,18.0,75.66666666666667
CTRL, AB7923,20.0,81.0
CTRL, AB7923,22.0,91.0
CTRL, AB7923,24.0,96.66666666666667
CTRL, AB7923,26.0,100.0
CTRL, AB7923,28.0,81.66666666666667
CTRL, AB7923,30.0,96.33333333333333
CTRL, AB7923,32.0,90.0
CTRL, AB7923,34.0,91.66666666666667
CTRL, AB7923,36.0,76.33333333333333
CTRL, AB7923,38.0,78.66666666666667
CTRL, AB7923,40.0,63.666666666666664
CTRL, AB7923,42.0,53.0
CTRL, AB7923,44.0,76.33333333333333
CTRL, AB7923,46.0,87.66666666666667
CTRL, AB7923,48.0,81.66666666666667
CTRL, AB7923,50.0,89.66666666666667
CTRL, AB7923,52.0,88.66666666666667
CTRL, AB7923,54.0,91.66666666666667
CTRL, AB7923,56.0,68.0
CTRL, AB7923,58.0,90.33333333333333
CTRL, AB7923,60.0,69.33333333333333
CTRL, AB7923,62.0,70.33333333333333
CTRL, AB7923,64.0,88.66666666666667
CTRL, AB7923,66.0,86.66666666666667
CTRL, AB7923,68.0,83.66666666666667
CTRL, AB7923,70.0,73.33333333333333
CTRL, AB7923,72.0,64.0
CTRL, AB7923,74.0,73.66666666666667
CTRL, AB7923,76.0,86.33333333333333
CTRL, AB7923,78.0,86.66666666666667
CTRL, AB7923,80.0,84.0
CTRL, AB7923,82.0,96.0
CTRL, AB7923,84.0,71.33333333333333
CTRL, AB7923,86.0,76.33333333333333
CTRL, AB7923,88.0,85.0
CTRL, AB7923,90.0,69.0
CTRL, AB7923,92.0,76.66666666666667
CTRL, AB7923,94.0,68.0
CTRL, AB7923,96.0,63.666666666666664
CTRL, AB7923,98.0,60.0
CTRL, AB7924,2.0,14.666666666666666
CTRL, AB7924,4.0,20.0
CTRL, AB7924,6.0,17.0
CTRL, AB7924,8.0,17.0
CTRL, AB7924,10.0,24.333333333333332
CTRL, AB7924,12.0,31.666666666666668
CTRL, AB7924,14.0,40.333333333333336
CTRL, AB7924,16.0,61.0
CTRL, AB7924,18.0,80.66666666666667
CTRL, AB7924,20.0,91.66666666666667
CTRL, AB7924,22.0,90.66666666666667
CTRL, AB7924,24.0,87.0
CTRL, AB7924,26.0,90.0
CTRL, AB7924,28.0,65.33333333333333
CTRL, AB7924,30.0,65.66666666666667
CTRL, AB7924,32.0,74.33333333333333
CTRL, AB7924,34.0,67.0
CTRL, AB7924,36.0,69.0
CTRL, AB7924,38.0,77.0
CTRL, AB7924,40.0,79.66666666666667
CTRL, AB7924,42.0,75.33333333333333
CTRL, AB7924,44.0,73.0
CTRL, AB7924,46.0,80.0
CTRL, AB7924,48.0,72.33333333333333
CTRL, AB7924,50.0,87.0
CTRL, AB7924,52.0,87.33333333333333
CTRL, AB7924,54.0,79.33333333333333
CTRL, AB7924,56.0,53.333333333333336
CTRL, AB7924,58.0,55.333333333333336
CTRL, AB7924,60.0,61.666666666666664
CTRL, AB7924,62.0,64.0
CTRL, AB7924,64.0,51.333333333333336
CTRL, AB7924,66.0,58.0
CTRL, AB7924,68.0,65.66666666666667
CTRL, AB7924,70.0,55.666666666666664
CTRL, AB7924,72.0,63.666666666666664
CTRL, AB7924,74.0,47.666666666666664
CTRL, AB7924,76.0,57.333333333333336
CTRL, AB7924,78.0,48.666666666666664
CTRL, AB7924,80.0,49.666666666666664
CTRL, AB7924,82.0,63.333333333333336
CTRL, AB7924,84.0,45.333333333333336
CTRL, AB7924,86.0,55.333333333333336
CTRL, AB7924,88.0,50.666666666666664
CTRL, AB7924,90.0,45.333333333333336
CTRL, AB7924,92.0,41.666666666666664
CTRL, AB7924,94.0,35.333333333333336
CTRL, AB7924,96.0,36.333333333333336
CTRL, AB7924,98.0,28.666666666666668
CTRL, AB7927,2.0,41.166666666666664
CTRL, AB7927,4.0,41.166666666666664
CTRL, AB7927,6.0,40.166666666666664
CTRL, AB7927,8.0,51.5
CTRL, AB7927,10.0,62.0
CTRL, AB7927,12.0,80.33333333333333
