Genotype,Animal,Normalized distance from pia (%),Synapse Counts
CKO, AB7932,96.0,3.3333333333333335
CKO, AB7932,98.0,2.3333333333333335
CTRL, AB7920,2.0,5.333333333333333
CTRL, AB7920,4.0,14.0
CTRL, AB7920,6.0,14.333333333333334
CTRL, AB7920,8.0,15.666666666666666
CTRL, AB7920,10.0,12.0
CTRL, AB7920,12.0,9.333333333333334
CTRL, AB7920,14.0,6.333333333333333
CTRL, AB7920,16.0,16.666666666666668
CTRL, AB7920,18.0,26.333333333333332
CTRL, AB7920,20.0,28.666666666666668
CTRL, AB7920,22.0,37.0
CTRL, AB7920,24.0,47.0
CTRL, AB7920,26.0,41.0
CTRL, AB7920,28.0,37.666666666666664
CTRL, AB7920,30.0,32.666666666666664
CTRL, AB7920,32.0,27.0
CTRL, AB7920,34.0,31.333333333333332
CTRL, AB7920,36.0,30.666666666666668
CTRL, AB7920,38.0,23.0
CTRL, AB7920,40.0,19.666666666666668
CTRL, AB7920,42.0,19.333333333333332
CTRL, AB7920,44.0,27.333333333333332
CTRL, AB7920,46.0,23.666666666666668
CTRL, AB7920,48.0,34.333333333333336
CTRL, AB7920,50.0,29.333333333333332
CTRL, AB7920,52.0,25.0
CTRL, AB7920,54.0,22.666666666666668
CTRL, AB7920,56.0,28.333333333333332
CTRL, AB7920,58.0,27.666666666666668
CTRL, AB7920,60.0,25.0
CTRL, AB7920,62.0,19.333333333333332
CTRL, AB7920,64.0,35.0
CTRL, AB7920,66.0,31.0
CTRL, AB7920,68.0,30.333333333333332
CTRL, AB7920,70.0,21.0
CTRL, AB7920,72.0,25.0
CTRL, AB7920,74.0,29.333333333333332
CTRL, AB7920,76.0,22.666666666666668
CTRL, AB7920,78.0,20.0
CTRL, AB7920,80.0,16.333333333333332
CTRL, AB7920,82.0,19.333333333333332
CTRL, AB7920,84.0,8.0
CTRL, AB7920,86.0,13.0
CTRL, AB7920,88.0,15.666666666666666
CTRL, AB7920,90.0,12.0
CTRL, AB7920,92.0,11.0
CTRL, AB7920,94.0,3.6666666666666665
CTRL, AB7920,96.0,5.0
CTRL, AB7920,98.0,2.3333333333333335
CTRL, AB7923,2.0,0.3333333333333333
CTRL, AB7923,4.0,0.0
CTRL, AB7923,6.0,1.6666666666666667
CTRL, AB7923,8.0,1.3333333333333333
CTRL, AB7923,10.0,1.3333333333333333
CTRL, AB7923,12.0,0.6666666666666666
CTRL, AB7923,14.0,0.6666666666666666
CTRL, AB7923,16.0,1.3333333333333333
CTRL, AB7923,18.0,4.0
CTRL, AB7923,20.0,4.666666666666667
CTRL, AB7923,22.0,12.333333333333334
CTRL, AB7923,24.0,16.0
CTRL, AB7923,26.0,23.0
CTRL, AB7923,28.0,13.666666666666666
CTRL, AB7923,30.0,21.333333333333332
CTRL, AB7923,32.0,14.333333333333334
CTRL, AB7923,34.0,12.333333333333334
CTRL, AB7923,36.0,11.666666666666666
CTRL, AB7923,38.0,7.0
CTRL, AB7923,40.0,4.666666666666667
CTRL, AB7923,42.0,7.333333333333333
CTRL, AB7923,44.0,12.333333333333334
CTRL, AB7923,46.0,19.333333333333332
CTRL, AB7923,48.0,16.333333333333332
CTRL, AB7923,50.0,18.333333333333332
CTRL, AB7923,52.0,13.0
CTRL, AB7923,54.0,14.666666666666666
CTRL, AB7923,56.0,8.0
CTRL, AB7923,58.0,17.0
CTRL, AB7923,60.0,10.333333333333334
CTRL, AB7923,62.0,10.666666666666666
CTRL, AB7923,64.0,17.0
CTRL, AB7923,66.0,13.333333333333334
CTRL, AB7923,68.0,14.0
CTRL, AB7923,70.0,10.666666666666666
CTRL, AB7923,72.0,8.666666666666666
CTRL, AB7923,74.0,7.333333333333333
CTRL, AB7923,76.0,11.333333333333334
CTRL, AB7923,78.0,5.0
CTRL, AB7923,80.0,5.333333333333333
CTRL, AB7923,82.0,7.0
CTRL, AB7923,84.0,7.0
CTRL, AB7923,86.0,6.666666666666667
CTRL, AB7923,88.0,8.333333333333334
CTRL, AB7923,90.0,8.333333333333334
CTRL, AB7923,92.0,7.666666666666667
CTRL, AB7923,94.0,8.666666666666666
CTRL, AB7923,96.0,5.333333333333333
CTRL, AB7923,98.0,4.666666666666667
CTRL, AB7924,2.0,1.6666666666666667
CTRL, AB7924,4.0,3.0
CTRL, AB7924,6.0,1.0
CTRL, AB7924,8.0,1.0
CTRL, AB7924,10.0,1.0
CTRL, AB7924,12.0,2.0
CTRL, AB7924,14.0,2.3333333333333335
CTRL, AB7924,16.0,8.333333333333334
CTRL, AB7924,18.0,16.333333333333332
CTRL, AB7924,20.0,20.666666666666668
CTRL, AB7924,22.0,21.333333333333332
CTRL, AB7924,24.0,19.0
CTRL, AB7924,26.0,20.666666666666668
CTRL, AB7924,28.0,12.666666666666666
CTRL, AB7924,30.0,11.333333333333334
CTRL, AB7924,32.0,15.666666666666666
CTRL, AB7924,34.0,9.0
CTRL, AB7924,36.0,13.0
CTRL, AB7924,38.0,12.0
CTRL, AB7924,40.0,16.0
CTRL, AB7924,42.0,15.666666666666666
CTRL, AB7924,44.0,12.0
CTRL, AB7924,46.0,15.0
CTRL, AB7924,48.0,14.666666666666666
CTRL, AB7924,50.0,19.0
CTRL, AB7924,52.0,23.333333333333332
CTRL, AB7924,54.0,15.333333333333334
CTRL, AB7924,56.0,6.333333333333333
CTRL, AB7924,58.0,7.0
CTRL, AB7924,60.0,12.0
CTRL, AB7924,62.0,10.0
CTRL, AB7924,64.0,8.0
CTRL, AB7924,66.0,12.333333333333334
CTRL, AB7924,68.0,12.333333333333334
CTRL, AB7924,70.0,5.0
CTRL, AB7924,72.0,9.0
CTRL, AB7924,74.0,3.3333333333333335
CTRL, AB7924,76.0,4.666666666666667
CTRL, AB7924,78.0,5.666666666666667
CTRL, AB7924,80.0,6.333333333333333
CTRL, AB7924,82.0,11.333333333333334
CTRL, AB7924,84.0,3.3333333333333335
CTRL, AB7924,86.0,4.0
CTRL, AB7924,88.0,4.0
CTRL, AB7924,90.0,6.666666666666667
CTRL, AB7924,92.0,4.0
CTRL, AB7924,94.0,4.0
CTRL, AB7924,96.0,2.0
CTRL, AB7924,98.0,2.6666666666666665
CTRL, AB7927,2.0,6.833333333333333
CTRL, AB7927,4.0,6.333333333333333
CTRL, AB7927,6.0,8.333333333333334
CTRL, AB7927,8.0,10.0
CTRL, AB7927,10.0,7.833333333333333
CTRL, AB7927,12.0,8.333333333333334
CTRL, AB7927,14.0,5.166666666666667
CTRL, AB7927,16.0,10.833333333333334
CTRL, AB7927,18.0,17.333333333333332
CTRL, AB7927,20.0,25.333333333333332
CTRL, AB7927,22.0,32.666666666666664
CTRL, AB7927,24.0,39.166666666666664
CTRL, AB7927,26.0,42.0
CTRL, AB7927,28.0,31.833333333333332
CTRL, AB7927,30.0,32.0
CTRL, AB7927,32.0,24.666666666666668
CTRL, AB7927,34.0,29.0
CTRL, AB7927,36.0,35.166666666666664
CTRL, AB7927,38.0,25.833333333333332
CTRL, AB7927,40.0,24.833333333333332
CTRL, AB7927,42.0,26.666666666666668
CTRL, AB7927,44.0,28.166666666666668
CTRL, AB7927,46.0,28.166666666666668
CTRL, AB7927,48.0,28.166666666666668
CTRL, AB7927,50.0,23.666666666666668
CTRL, AB7927,52.0,23.5
CTRL, AB7927,54.0,21.333333333333332
CTRL, AB7927,56.0,18.666666666666668
CTRL, AB7927,58.0,19.833333333333332
CTRL, AB7927,60.0,20.333333333333332
CTRL, AB7927,62.0,18.166666666666668
CTRL, AB7927,64.0,21.333333333333332
CTRL, AB7927,66.0,18.833333333333332
CTRL, AB7927,68.0,18.833333333333332
CTRL, AB7927,70.0,15.666666666666666
CTRL, AB7927,72.0,15.333333333333334
CTRL, AB7927,74.0,14.333333333333334
CTRL, AB7927,76.0,13.0
CTRL, AB7927,78.0,15.833333333333334
CTRL, AB7927,80.0,13.666666666666666
CTRL, AB7927,82.0,17.166666666666668
CTRL, AB7927,84.0,10.5
CTRL, AB7927,86.0,16.0
CTRL, AB7927,88.0,15.666666666666666
CTRL, AB7927,90.0,11.5
CTRL, AB7927,92.0,14.666666666666666
CTRL, AB7927,94.0,12.666666666666666
CTRL, AB7927,96.0,8.5
CTRL, AB7927,98.0,4.166666666666667
CTRL, AB7928,2.0,2.6666666666666665
CTRL, AB7928,4.0,3.6666666666666665
CTRL, AB7928,6.0,5.0
CTRL, AB7928,8.0,4.333333333333333
CTRL, AB7928,10.0,3.6666666666666665
CTRL, AB7928,12.0,1.6666666666666667
CTRL, AB7928,14.0,3.0
CTRL, AB7928,16.0,5.333333333333333
CTRL, AB7928,18.0,6.666666666666667
