Genotype,Animal,Normalized distance from pia (%),VGAT Counts
CTRL, AB7924,62.0,227.66666666666666
CTRL, AB7924,64.0,222.0
CTRL, AB7924,66.0,213.66666666666666
CTRL, AB7924,68.0,209.66666666666666
CTRL, AB7924,70.0,139.0
CTRL, AB7924,72.0,148.66666666666666
CTRL, AB7924,74.0,126.0
CTRL, AB7924,76.0,122.0
CTRL, AB7924,78.0,120.66666666666667
CTRL, AB7924,80.0,104.66666666666667
CTRL, AB7924,82.0,111.66666666666667
CTRL, AB7924,84.0,83.33333333333333
CTRL, AB7924,86.0,85.66666666666667
CTRL, AB7924,88.0,92.33333333333333
CTRL, AB7924,90.0,79.0
CTRL, AB7924,92.0,62.666666666666664
CTRL, AB7924,94.0,56.666666666666664
CTRL, AB7924,96.0,44.333333333333336
CTRL, AB7924,98.0,35.333333333333336
CTRL, AB7927,2.0,193.33333333333334
CTRL, AB7927,4.0,203.5
CTRL, AB7927,6.0,197.16666666666666
CTRL, AB7927,8.0,152.16666666666666
CTRL, AB7927,10.0,120.0
CTRL, AB7927,12.0,88.66666666666667
CTRL, AB7927,14.0,68.0
CTRL, AB7927,16.0,121.33333333333333
CTRL, AB7927,18.0,196.66666666666666
CTRL, AB7927,20.0,273.3333333333333
CTRL, AB7927,22.0,339.5
CTRL, AB7927,24.0,394.3333333333333
CTRL, AB7927,26.0,400.0
CTRL, AB7927,28.0,368.3333333333333
CTRL, AB7927,30.0,338.5
CTRL, AB7927,32.0,310.6666666666667
CTRL, AB7927,34.0,295.6666666666667
CTRL, AB7927,36.0,289.8333333333333
CTRL, AB7927,38.0,272.5
CTRL, AB7927,40.0,235.33333333333334
CTRL, AB7927,42.0,249.0
CTRL, AB7927,44.0,279.5
CTRL, AB7927,46.0,304.0
CTRL, AB7927,48.0,320.3333333333333
CTRL, AB7927,50.0,313.0
CTRL, AB7927,52.0,291.0
CTRL, AB7927,54.0,272.5
CTRL, AB7927,56.0,238.5
CTRL, AB7927,58.0,264.0
CTRL, AB7927,60.0,263.3333333333333
CTRL, AB7927,62.0,254.33333333333334
CTRL, AB7927,64.0,257.8333333333333
CTRL, AB7927,66.0,256.0
CTRL, AB7927,68.0,227.33333333333334
CTRL, AB7927,70.0,189.0
CTRL, AB7927,72.0,189.66666666666666
CTRL, AB7927,74.0,174.83333333333334
CTRL, AB7927,76.0,172.66666666666666
CTRL, AB7927,78.0,153.33333333333334
CTRL, AB7927,80.0,145.5
CTRL, AB7927,82.0,138.5
CTRL, AB7927,84.0,108.5
CTRL, AB7927,86.0,118.33333333333333
CTRL, AB7927,88.0,135.0
CTRL, AB7927,90.0,112.66666666666667
CTRL, AB7927,92.0,113.33333333333333
CTRL, AB7927,94.0,96.83333333333333
CTRL, AB7927,96.0,63.166666666666664
CTRL, AB7927,98.0,41.666666666666664
CTRL, AB7928,2.0,335.0
CTRL, AB7928,4.0,382.3333333333333
CTRL, AB7928,6.0,372.0
CTRL, AB7928,8.0,315.6666666666667
CTRL, AB7928,10.0,247.33333333333334
CTRL, AB7928,12.0,214.0
CTRL, AB7928,14.0,104.66666666666667
CTRL, AB7928,16.0,154.33333333333334
CTRL, AB7928,18.0,196.66666666666666
CTRL, AB7928,20.0,339.0
CTRL, AB7928,22.0,392.0
CTRL, AB7928,24.0,464.3333333333333
CTRL, AB7928,26.0,445.3333333333333
CTRL, AB7928,28.0,419.3333333333333
CTRL, AB7928,30.0,411.0
CTRL, AB7928,32.0,415.6666666666667
CTRL, AB7928,34.0,413.3333333333333
CTRL, AB7928,36.0,400.0
CTRL, AB7928,38.0,377.6666666666667
CTRL, AB7928,40.0,366.3333333333333
CTRL, AB7928,42.0,318.3333333333333
CTRL, AB7928,44.0,319.6666666666667
CTRL, AB7928,46.0,354.0
CTRL, AB7928,48.0,382.3333333333333
CTRL, AB7928,50.0,385.6666666666667
CTRL, AB7928,52.0,401.6666666666667
CTRL, AB7928,54.0,372.3333333333333
CTRL, AB7928,56.0,355.3333333333333
CTRL, AB7928,58.0,359.6666666666667
CTRL, AB7928,60.0,357.0
CTRL, AB7928,62.0,363.0
CTRL, AB7928,64.0,345.0
CTRL, AB7928,66.0,348.6666666666667
CTRL, AB7928,68.0,318.0
CTRL, AB7928,70.0,301.3333333333333
CTRL, AB7928,72.0,271.0
CTRL, AB7928,74.0,259.0
CTRL, AB7928,76.0,250.33333333333334
CTRL, AB7928,78.0,234.0
CTRL, AB7928,80.0,217.66666666666666
CTRL, AB7928,82.0,187.66666666666666
CTRL, AB7928,84.0,145.0
CTRL, AB7928,86.0,176.0
CTRL, AB7928,88.0,137.0
CTRL, AB7928,90.0,129.0
CTRL, AB7928,92.0,115.66666666666667
CTRL, AB7928,94.0,103.33333333333333
CTRL, AB7928,96.0,72.66666666666667
CTRL, AB7928,98.0,53.0
